Date;Eonia;OIS1m;OIS3m;OIS6m;OIS12m
36186;3.22;3.0475;;2.9725;2.9525
36187;3.13;3.0475;;2.983;2.957
36188;3.12;3.0375;;2.957;2.965
36189;3.16;3.0325;;2.972;2.97
36190;;;;;
36191;;;;;
36192;3.17;3.0625;;2.983;2.957
36193;3.18;3.0775;;3.097;3.017
36194;3.18;3.0825;;3.028;2.983
36195;3.17;3.0775;;3.033;2.988
36196;3.15;3.0925;;3.033;2.988
36197;;;;;
36198;;;;;
36199;3.15;3.1;3.102;3.053;2.997
36200;3.13;;3.102;3.048;2.997
36201;3.12;;3.105;3.043;2.992
36202;3.1;;3.097;3.025;3.02
36203;3.08;;3.092;3.028;3.033
36204;;;;;
36205;;;;;
36206;3.06;;3.057;3.007;3.017
36207;3.04;;3.072;3.028;3.033
36208;3.03;;3.063;3.028;3.043
36209;3.02;;3.043;3.003;3.023
36210;3.03;;3.033;3.003;3.017
36211;;;;;
36212;;;;;
36213;3.05;;3.037;2.993;3.007
36214;3.34;;3.037;2.987;2.988
36215;3.13;;3.057;2.997;3.015
36216;3.11;;3.063;3.008;3.028
36217;3.12;;3.082;3.043;3.082
36218;;;;;
36219;;;;;
36220;3.12;;3.097;3.063;3.108
36221;3.11;;3.122;3.112;3.18
36222;3.08;;3.118;3.097;3.153
36223;3.06;;;;
36224;3.04;;3.077;3.043;3.112
36225;;;;;
36226;;;;;
36227;3.03;;3.057;3.017;3.068
36228;3.03;;3.053;3.008;3.063
36229;3.02;;3.048;3.003;3.048
36230;2.99;;3.04;2.997;3.037
36231;2.92;;3.043;2.992;3.017
36232;;;;;
36233;;;;;
36234;2.9;;3.007;2.963;3.003
36235;2.9;;3.003;2.963;3.003
36236;2.98;;2.992;2.957;2.993
36237;2.95;;2.983;2.938;2.972
36238;2.65;;2.983;2.942;2.972
36239;;;;;
36240;;;;;
36241;2.19;;2.983;2.952;2.993
36242;2.39;;2.983;2.952;3.003
36243;2.98;;2.96;2.93;2.977
36244;2.99;;2.938;2.908;2.952
36245;2.99;;2.942;2.908;2.952
36246;;;;;
36247;;;;;
36248;2.99;;3;2.938;2.957
36249;2.98;;2.992;2.93;2.947
36250;2.99;;2.972;2.912;2.932
36251;2.98;;2.942;2.882;2.902
36252;2.96;;2.88;2.842;2.882
36253;;;;;
36254;;;;;
36255;2.97;;;;
36256;2.98;;2.87;2.83;2.865
36257;3.08;;2.847;2.827;2.872
36258;3.11;;2.842;2.818;2.862
36259;2.81;;2.628;2.633;2.717
36260;;;;;
36261;;;;;
36262;2.77;;2.608;2.618;2.707
36263;2.73;;2.625;2.618;2.688
36264;2.6;;2.608;2.612;2.678
36265;2.58;;2.608;2.608;2.682
36266;2.55;;2.602;2.612;2.703
36267;;;;;
36268;;;;;
36269;2.51;;2.598;2.608;2.693
36270;2.47;;2.588;2.592;2.673
36271;2.47;;2.572;2.578;2.648
36272;2.47;;2.572;2.578;2.653
36273;2.93;;2.573;2.578;2.658
36274;;;;;
36275;;;;;
36276;2.53;;2.585;2.59;2.658
36277;2.53;;2.582;2.588;2.658
36278;2.52;;2.582;2.588;2.668
36279;2.52;;2.582;2.592;2.668
36280;2.53;;2.595;2.592;2.658
36281;;;;;
36282;;;;;
36283;2.52;;2.565;2.592;2.678
36284;2.51;;2.595;2.592;2.673
36285;2.51;;;2.61;2.625
36286;2.51;;2.578;2.592;2.625
36287;2.51;;2.55;2.61;2.655
36288;;;;;
36289;;;;;
36290;2.51;;2.577;2.588;2.682
36291;2.51;;2.553;2.545;2.662
36292;2.51;;2.568;2.59;2.662
36293;2.51;2.525;2.52;2.515;2.565
36294;2.51;;2.548;2.528;2.613
36295;;;;;
36296;;;;;
36297;2.52;2.54;2.535;2.563;2.662
36298;2.53;2.535;2.563;2.563;2.658
36299;2.64;2.55;2.55;2.55;2.625
36300;3.02;2.55;2.572;2.555;2.653
36301;2.61;2.535;2.553;2.56;2.615
36302;;;;;
36303;;;;;
36304;2.54;2.525;2.525;2.53;2.653
36305;2.54;2.525;2.548;2.563;2.642
36306;2.52;2.53;2.555;2.53;2.648
36307;2.51;2.53;2.563;2.55;2.645
36308;2.51;2.535;2.578;2.588;2.662
36309;;;;;
36310;;;;;
36311;2.52;2.545;2.595;2.56;2.64
36312;2.52;2.555;2.545;2.602;2.763
36313;2.53;2.565;2.565;2.615;2.848
36314;2.54;2.545;2.565;2.605;2.803
36315;2.54;2.555;2.575;2.615;2.745
36316;;;;;
36317;;;;;
36318;2.54;2.555;2.602;2.642;2.807
36319;2.54;;2.57;2.61;2.778
36320;2.54;2.555;2.612;2.648;2.7
36321;2.54;2.565;2.612;2.615;2.807
36322;2.55;2.575;2.595;2.665;2.852
36323;;;;;
36324;;;;;
36325;2.55;2.575;2.59;2.635;2.852
36326;2.55;2.575;2.613;2.63;2.76
36327;2.56;2.58;2.618;2.662;2.8
36328;2.58;2.58;2.622;2.62;2.823
36329;2.6;2.575;2.628;2.62;2.813
36330;;;;;
36331;;;;;
36332;2.67;2.58;2.628;2.63;2.8
36333;2.66;2.585;2.637;2.65;2.872
36334;2.23;;2.642;2.66;2.852
36335;2.55;2.57;2.61;2.66;2.898
36336;2.58;2.59;2.653;2.665;2.86
36337;;;;;
36338;;;;;
36339;2.6;2.575;2.653;2.702;2.922
36340;2.66;2.575;2.628;2.7;2.907
36341;2.76;2.595;2.645;2.715;2.922
36342;2.6;2.595;2.632;2.705;2.845
36343;2.58;2.61;2.653;2.77;2.95
36344;;;;;
36345;;;;;
36346;2.57;2.6;2.652;2.715;2.88
36347;2.56;;2.64;2.74;2.91
36348;2.54;2.595;2.68;2.735;2.9
36349;2.54;2.585;2.635;2.74;2.935
36350;2.54;2.6;2.63;2.74;2.93
36351;;;;;
36352;;;;;
36353;2.54;2.6;2.658;2.75;2.93
36354;2.55;2.595;2.662;2.778;2.93
36355;2.56;2.59;2.662;2.73;2.983
36356;2.59;2.6;2.63;2.775;2.91
36357;2.62;2.61;2.693;2.872;3.043
36358;;;;;
36359;;;;;
36360;2.63;2.63;2.675;2.815;3.025
36361;2.63;2.625;2.675;2.81;3.063
36362;2.6;2.616;2.681;2.78;3.065
36363;2.04;2.594;2.676;2.87;2.945
36364;1.87;2.585;2.676;2.795;3.043
36365;;;;;
36366;;;;;
36367;2.57;;2.677;2.795;3
36368;2.59;2.605;2.68;2.8;3.04
36369;2.58;;2.679;2.81;3.053
36370;2.58;2.595;2.674;2.85;3.18
36371;2.58;;2.679;2.891;3.11
36372;;;;;
36373;;;;;
36374;2.58;;2.687;2.875;3.182
36375;2.55;;2.687;2.895;3.165
36376;2.54;2.582;2.678;2.87;3.125
36377;2.53;2.581;2.687;2.885;3.243
36378;2.53;2.585;2.687;2.88;3.233
36379;;;;;
36380;;;;;
36381;2.53;2.59;2.685;2.9;3.287
36382;2.54;;2.687;2.91;3.225
36383;2.55;;2.675;2.895;3.15
36384;2.56;2.58;2.67;2.89;3.227
36385;2.57;2.595;2.675;2.895;3.18
36386;;;;;
36387;;;;;
36388;2.57;2.59;2.67;2.89;3.155
36389;2.55;2.585;2.67;2.885;3.15
36390;2.16;2.562;2.655;2.84;3.07
36391;1.85;2.565;2.655;2.85;3.08
36392;1.94;2.57;2.655;2.845;3.055
36393;;;;;
36394;;;;;
36395;1.86;2.575;2.655;2.835;3.035
36396;2.55;2.57;2.665;2.875;3.085
