Date;Euribor12m;Euribor3m;Euribor1m;Euribor6m
36235;3.027;3.036;3.036;3.015
36236;3.027;3.038;3.042;3.017
36237;3.019;3.032;3.037;3.01
36238;3.012;3.027;3.031;3.003
36239;;;;
36240;;;;
36241;3.009;3.2;3.025;2.999
36242;3.011;3.019;3.024;2.999
36243;3.01;3.014;3.02;2.995
36244;2.992;2.998;3.008;2.975
36245;2.985;2.991;3.004;2.967
36246;;;;
36247;;;;
36248;2.985;2.985;3.002;2.963
36249;2.978;2.981;2.998;2.956
36250;;;;
36251;;;;
36252;;;;
36253;;;;
36254;;;;
36255;;;;
36256;2.907;2.905;2.933;2.889
36257;2.903;2.9;2.929;2.883
36258;2.899;2.895;2.927;2.879
36259;2.719;2.66;2.66;2.676
36260;;;;
36261;;;;
36262;2.715;2.661;2.661;2.673
36263;2.713;2.651;2.647;2.663
36264;2.709;2.637;2.632;2.653
36265;2.707;2.628;2.622;2.647
36266;2.71;2.626;2.615;2.644
36267;;;;
36268;;;;
36269;2.707;2.621;2.606;2.637
36270;2.7;2.61;2.594;2.626
36271;2.692;2.601;2.582;2.618
36272;2.685;2.596;2.577;2.613
36273;2.683;2.594;2.578;2.613
36274;;;;
36275;;;;
36276;2.681;2.591;2.574;2.611
36277;2.677;2.59;2.573;2.608
36278;2.678;2.588;2.571;2.607
36279;2.678;2.585;2.569;2.605
36280;2.676;2.583;2.568;2.604
36281;;;;
36282;;;;
36283;2.676;2.583;2.568;2.604
36284;2.676;2.583;2.568;2.604
36285;2.68;2.581;2.567;2.603
36286;2.684;2.581;2.566;2.604
36287;2.683;2.579;2.565;2.602
36288;;;;
36289;;;;
36290;2.691;2.581;2.566;2.605
36291;2.688;2.579;2.564;2.602
36292;;;;
36293;;;;
36294;2.68;2.577;2.56;2.594
36295;;;;
36296;;;;
36297;;;;
36298;;;;
36299;2.677;2.576;2.56;2.592
36300;2.688;2.583;2.576;2.597
36301;2.688;2.584;2.577;2.598
36302;;;;
36303;;;;
36304;;;;
36305;2.682;2.579;2.569;2.596
36306;2.679;2.579;2.569;2.596
36307;2.678;2.577;2.566;2.594
36308;2.678;2.577;2.565;2.593
36309;;;;
36310;;;;
36311;2.685;2.578;2.565;2.596
36312;2.687;2.578;2.566;2.596
36313;2.735;2.585;2.571;2.615
36314;2.812;2.601;2.577;2.657
36315;2.784;2.597;2.575;2.649
36316;;;;
36317;;;;
36318;2.795;2.597;2.576;2.651
36319;2.805;2.602;2.579;2.654
