Date;Credit Agricole;HSBC;DZ Bank;SG;Barclays;Deutsche Bank
40182;76.5;58;95;74.5;81.5;74.5
40183;72.5;57.5;95;72.5;80.5;78
40184;67.5;55.5;90;68.5;77.5;71.5
40185;68.5;55.5;90;68.5;75.5;70.5
40186;65.5;52.5;90;65.5;74;67.5
40187;;;;;;
40188;;;;;;
40189;60.5;51.5;90;60.5;72.5;67.5
40190;63.5;53.5;90;62.5;74.5;70.5
40191;66.5;56.5;90;66.5;81.5;71.5
40192;67.5;60.5;90;72;84.5;75.5
40193;73.5;61;90;73.5;90;79.5
40194;;;;;;
40195;;;;;;
40196;68.5;58.5;90;68.5;85.5;72.5
40197;65.5;56.5;90;65.5;86.5;75.5
40198;73;61;90;73;94.5;82.5
40199;72.5;60;90;71.5;94.5;84
40200;57.5;66.5;90;80;102;88
40201;;;;;;
40202;;;;;;
40203;74.5;64;90;74.5;95;81.5
40204;73;61.5;90;73;94;95
40205;79.5;64.5;90;78.5;95.5;83.5
40206;89;67.5;95;86;97.5;84.5
40207;95.5;70;95;87;95.5;88.5
40208;;;;;;
40209;;;;;;
40210;84.75;69;97;93;92.75;88
40211;87;70;97;84.5;87.5;85.5
40212;90;70.5;95;86.5;87.5;86.5
40213;105.5;78.5;100;99.5;105;91
40214;90.125;78.5;105;99.5;101.5;95
40215;;;;;;
40216;;;;;;
40217;108.5;83;105;102.5;89.5;100.5
40218;110;84.5;105;88;111;104
40219;100;80;100;97;101.5;92
40220;104.5;82.5;100;91;101.5;93.5
40221;109;94;102;104;116;99
40222;;;;;;
40223;;;;;;
40224;107.5;95.5;103;104.5;120.5;98.5
40225;117;92;105;88;117.5;100.5
40226;109.5;88.5;102;105.5;112.5;97.5
40227;109.5;87;102;103.5;108.5;96
40228;106.5;84;102;102.5;108;92
40229;;;;;;
40230;;;;;;
40231;103.5;81;100;99.5;104.5;91
40232;105.5;84;100;101.5;107;95.5
40233;106.5;86.5;100;106.5;108.5;96.5
40234;106.5;84.5;100;104.5;108.5;101.5
40235;102;83;100;100;104;96
40236;;;;;;
40237;;;;;;
40238;90.9;82;100;99;102;93.75
40239;98;77.5;100;94.5;80;88.5
40240;92;75.5;97;96;86.5;88.5
40241;100.087;75;97;88.5;84.5;92.5
40242;91.5;74.5;97;87.5;84.5;83.25
40243;;;;;;
40244;;;;;;
40245;81.5;69.5;95;82.5;79.5;102.75
40246;87;72.5;95;84;81.5;100
40247;84.5;66;95;80.5;78;80.5
40248;84.5;68;95;82.5;81.5;80.75
40249;83.5;68.5;95;81.5;80.5;83.5
40250;;;;;;
40251;;;;;;
40252;87;71;95;85;82.5;74.5
40253;85.5;68.5;95;82.5;83.5;86.5
40254;83.5;65.5;95;79.5;82;83.5
40255;84.5;66.5;95;82.5;84.5;84.5
40256;86.5;67.5;95;84.5;85.5;86.5
40257;;;;;;
40258;;;;;;
40259;89.5;69.5;95;100.03;94;99.85
40260;88.5;69.5;95;86.5;89;87.5
40261;99.65;65;90;100.87;99.625;85
40262;88.5;68;90;86.5;99.625;87.5
40263;87.5;66.5;90;84.5;87.5;86.5
40264;;;;;;
40265;;;;;;
40266;84.5;65;90;83.5;88.5;85.5
40267;83.5;65.5;89;81.5;84.5;84.5
40268;84.5;67.5;91;85;86.5;86.5
40269;85.5;65.5;91;84.5;87;86.5
40270;87.5;66;;84.5;99.5;
40271;;;;;;
40272;;;;;;
40273;;;;;;
40274;84.5;89;90;83.5;87.5;87.5
40275;89;67.5;90;87;89.5;102.625
