Date;Nibor3m;Nibor1m;Nibor1w;Nibor6m;Nibor2m
31413;;;;;
31414;12.80975;12.6194;12.67841;12.93966;
31415;12.83989;12.52899;12.59994;12.92999;
31416;;;;;
31417;;;;;
31418;12.87994;12.73956;12.71765;13.01971;
31419;13.11989;13.16986;13.04626;13.2699;
31420;12.84981;12.64915;12.37923;13.02976;
31421;12.96997;12.89978;12.59994;13.14983;
31422;12.99973;12.95929;12.8795;13.11986;
31423;;;;;
31424;;;;;
31425;12.98981;12.79907;12.83536;13.11986;
31426;12.98981;13.06915;13.17868;13.16975;
31427;13.08975;13.29918;13.24735;13.18985;
31428;13.06992;13.35983;13.56615;13.14983;
31429;13.07983;13.26942;13.4092;13.19991;
31430;;;;;
31431;;;;;
31432;13.08975;13.0291;12.86969;13.21963;
31433;13.11989;13.11951;13.07569;13.18985;
31434;13.10997;13.18932;13.27678;13.22987;
31435;13.0497;12.97989;12.8795;13.11986;
31436;13.11989;12.99934;12.70784;13.24979;
31437;;;;;
31438;;;;;
31439;13.13972;13.12981;12.73727;13.27995;
31440;13.10997;13.00964;12.93836;13.23993;
31441;13.30986;13.27972;13.18849;13.38997;
31442;13.34;13.26942;13.04626;13.36967;
31443;13.37967;13.35983;13.5171;13.39964;
31444;;;;;
31445;;;;;
31446;13.43994;13.62991;13.69857;13.45996;
31447;13.4697;13.57956;13.54653;13.40969;
31448;13.43994;13.62991;13.59558;13.43985;
31449;13.52997;13.74893;13.5171;13.53981;
31450;13.44986;13.39989;13.41901;13.48993;
31451;;;;;
31452;;;;;
31453;13.44986;13.38959;13.22773;13.51971;
31454;13.34991;13.40904;13.36996;13.5897;
31455;13.42964;13.34953;13.11983;13.5897;
31456;13.48;13.51891;13.66915;13.63997;
31457;13.56964;13.61961;13.54653;13.74998;
31458;;;;;
31459;;;;;
31460;13.40981;13.38959;13.14926;13.62972;
31461;13.28964;13.29918;13.06588;13.66975;
31462;13.34991;13.37929;13.21792;13.65969;
31463;13.27972;13.39989;13.37977;13.51971;
31464;13.26981;13.39989;13.43863;13.51971;
31465;;;;;
31466;;;;;
31467;13.25989;13.25912;13.26697;13.46982;
31468;13.27972;13.11951;13.10511;13.46982;
31469;13.25989;13.35983;13.35525;13.50984;
31470;13.37967;13.33923;13.36996;13.57984;
31471;13.35983;13.27972;13.58577;13.53981;
31472;;;;;
31473;;;;;
31474;13.3297;13.11951;13.44844;13.54968;
31475;13.20992;13.22937;13.24735;13.45996;
31476;13.12981;13.23967;13.31601;13.37991;
31477;13.23967;13.23967;13.33563;13.42999;
31478;13.2;13.0497;13.17868;13.36967;
31479;;;;;
31480;;;;;
31481;13.09967;13.07945;13.16887;13.27995;
31482;13.08975;13.08975;13.36996;13.24979;
31483;13.22975;13.05885;13.25716;13.28962;
31484;13.25989;13.24997;13.27678;13.34994;
