Date;DNB;Nordea;Danske Bank;Svenska Handelsbanken;Swedbank;Skandinaviske Enskildabanken
40182;57;55;70.5;54;116;117.5
40183;61.5;60.5;67.375;54.25;119.5;114.5
40184;55.5;55.5;67.5;49.5;113;116
40185;50.5;60.5;79;51.125;117.5;110.5
40186;47.5;60.5;62.5;45.5;115;105.5
40187;;;;;;
40188;;;;;;
40189;48.5;50;64.5;49;110;102.5
40190;60.5;49.5;61.5;48.5;105;99
40191;52.5;53.5;61.5;48.5;105;100.5
40192;56.5;58;61.5;57;110;114.5
40193;57.5;62.5;60.5;57;109.5;115.5
40194;;;;;;
40195;;;;;;
40196;57.5;62;68.375;55.875;115;115.5
40197;54.5;62.125;68.5;55.875;115;112.5
40198;65.375;64.5;71.625;59;120.25;124.5
40199;61;63;61;60;125.5;122
40200;65.375;69.5;71.625;62.125;120.25;123
40201;;;;;;
40202;;;;;;
40203;65.375;68.5;71.625;62.25;120.25;122.75
40204;62.5;74;69.5;69;115;117.5
40205;67.5;76;61;70;110;120
40206;67.5;69.75;73.125;62.25;120;120
40207;67.5;62;67.5;62.5;120;120
40208;;;;;;
40209;;;;;;
40210;73.125;75;73.125;68;120;120
40211;69.75;69.75;80.25;62.25;117.25;116.25
40212;66.375;66.375;69.75;59.125;111.5;113
40213;70;62.5;71.5;67.5;120;120
40214;60.5;62;83.125;71.625;120;120
40215;;;;;;
40216;;;;;;
40217;83.125;83.125;83.125;71.625;99.5;102.85
40218;72.5;77;78;70.5;112.5;117.5
40219;70.5;85;81;65.5;112.5;112.5
40220;73.125;73.125;73.125;65.375;108.75;113
40221;76.375;76.375;76.375;68.5;111.5;116.25
40222;;;;;;
40223;;;;;;
40224;75.5;79;80.5;69;112.5;119.5
40225;76.5;76.375;83.5;69.75;111.5;122
40226;95.5;85;98.75;68;98.5;92
40227;77.5;79;80;72;118.5;117.5
40228;73;79;79;64;118;118
40229;;;;;;
40230;;;;;;
40231;73.5;76.375;76.5;73.125;115.5;115.5
40232;73.5;67;76.5;68;115.5;115.5
40233;75.5;77.5;62.5;65.5;117.5;118
40234;77.5;77.5;81.5;73;123;123
40235;74.5;73.125;73.125;66.375;117.5;117.5
40236;;;;;;
40237;;;;;;
40238;62.5;62;62.5;62.5;117.5;117.5
40239;73.5;73.125;78;66.375;114.5;114.5
40240;72.5;62;78;62.5;114.5;107
40241;72.5;62;78;67;114.5;114.5
40242;68.5;73.5;79.25;62.5;112;110
40243;;;;;;
40244;;;;;;
40245;61;65;80.5;63;108;108
40246;61.5;62;80.5;60.5;105;105
40247;69.5;69;81;65;102.5;105
40248;69.5;69;70.5;65;104.5;105.5
40249;69.5;69;76.5;65;104.5;105.5
40250;;;;;;
40251;;;;;;
40252;70.5;69;72.5;63;102.5;102.5
40253;72;68;73.5;63;104;106
40254;68.625;68.625;72.125;61.75;103.25;103.25
40255;72;68;73.5;63;104;106
40256;72.5;90;72.5;63;104.5;104.5
40257;;;;;;
40258;;;;;;
40259;75.5;75.5;77.5;63.5;110;110
40260;60;62;86.5;62.5;106;98.75
40261;70.5;72.5;74.5;56.5;100;103
40262;75.5;75.5;76.5;62.5;110;110
40263;75.5;75.5;76.5;62.5;110;110
40264;;;;;;
40265;;;;;;
40266;71;68.5;87.5;60;104;102
40267;69.5;68.5;77.5;59;102.5;102.5
40268;72;69.5;77.5;59;103;104
40269;70.5;72;77.5;62.5;104.5;104.5
40270;70.5;;;62.5;104.5;104.5
40271;;;;;;
40272;;;;;;
40273;;;;62.5;;
40274;73;72;71.5;62.5;103;107.5
40275;74.5;74.5;76.5;62.5;105;105
40276;75;75;73.5;62.5;107;102.5
40277;74.5;74.5;77.5;62.5;114;104
40278;;;;;;
40279;;;;;;
40280;70.5;72.5;74.5;60.5;102.5;102.5
40281;70.5;61.5;75.5;60.5;102.5;99.5
40282;61.5;61.5;72.5;60.5;103;100
