Date,NOKOIS1w,NOKOIS1m,NOKOIS3m,NOKOIS6m
01/01/2007,3.5,3.55,3.72,3.89
02/01/2007,3.5,3.56,3.73,3.89
03/01/2007,3.5,3.57,3.74,3.9
04/01/2007,3.5,3.58,3.75,3.9
05/01/2007,3.5,3.59,3.75,3.91
06/01/2007,3.5,3.59,3.75,3.91
07/01/2007,3.5,3.59,3.75,3.91
08/01/2007,3.5,3.59,3.76,3.92
09/01/2007,3.5,3.6,3.77,3.92
10/01/2007,3.5,3.61,3.78,3.93
11/01/2007,3.5,3.62,3.78,3.93
12/01/2007,3.5,3.63,3.79,3.94
13/01/2007,3.5,3.63,3.79,3.94
14/01/2007,3.5,3.63,3.79,3.94
15/01/2007,3.5,3.64,3.8,3.94
16/01/2007,3.5,3.64,3.81,3.95
17/01/2007,3.54,3.65,3.82,3.96
18/01/2007,3.57,3.66,3.82,3.96
19/01/2007,3.61,3.67,3.83,3.97
20/01/2007,3.61,3.67,3.83,3.97
21/01/2007,3.61,3.67,3.83,3.97
22/01/2007,3.65,3.68,3.84,3.97
23/01/2007,3.69,3.69,3.85,3.98
24/01/2007,3.69,3.69,3.85,3.98
25/01/2007,3.75,3.75,3.86,4.11
26/01/2007,3.75,3.75,3.87,4.12
27/01/2007,3.75,3.75,3.87,4.12
28/01/2007,3.75,3.75,3.87,4.12
29/01/2007,3.75,3.75,3.87,4.12
30/01/2007,3.75,3.75,3.87,4.13
31/01/2007,3.75,3.75,3.88,4.13
01/02/2007,3.75,3.75,3.88,4.14
02/02/2007,3.75,3.75,3.88,4.15
03/02/2007,3.75,3.75,3.88,4.15
04/02/2007,3.75,3.75,3.88,4.15
05/02/2007,3.75,3.75,3.89,4.15
06/02/2007,3.75,3.75,3.89,4.16
07/02/2007,3.75,3.75,3.9,4.16
08/02/2007,3.75,3.75,3.9,4.17
09/02/2007,3.75,3.75,3.9,4.17
10/02/2007,3.75,3.75,3.9,4.17
11/02/2007,3.75,3.75,3.9,4.17
12/02/2007,3.75,3.75,3.91,4.18
13/02/2007,3.75,3.76,3.91,4.19
14/02/2007,3.75,3.77,3.92,4.19
15/02/2007,3.75,3.78,3.92,4.2
16/02/2007,3.75,3.8,3.92,4.21
17/02/2007,3.75,3.8,3.92,4.21
18/02/2007,3.75,3.8,3.92,4.21
19/02/2007,3.75,3.81,3.93,4.22
20/02/2007,3.75,3.82,3.93,4.23
21/02/2007,3.75,3.83,3.93,4.23
22/02/2007,3.75,3.84,3.94,4.24
23/02/2007,3.75,3.85,3.94,4.25
24/02/2007,3.75,3.85,3.94,4.25
